"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"1984","T","NZ",,"ALB","ALBACORE","2773"
"1985","T","NZ",,"ALB","ALBACORE","3253"
"1986","T","NZ",,"ALB","ALBACORE","1911"
"1987","T","NZ",,"ALB","ALBACORE","1256"
"1988","T","NZ",,"ALB","ALBACORE","405"
"1989","T","NZ",,"ALB","ALBACORE","4361"
"1990","T","NZ",,"ALB","ALBACORE","2555"
"1991","T","NZ",,"ALB","ALBACORE","2350"
"1992","T","NZ",,"ALB","ALBACORE","3265"
"1993","T","NZ",,"ALB","ALBACORE","2971"
"1994","T","NZ",,"ALB","ALBACORE","4609"
"1995","T","NZ",,"ALB","ALBACORE","5339"
"1996","T","NZ",,"ALB","ALBACORE","5215"
"1997","T","NZ",,"ALB","ALBACORE","2767"
"1998","T","NZ",,"ALB","ALBACORE","4463"
"1999","T","NZ",,"ALB","ALBACORE","1799"
"2000","T","NZ",,"ALB","ALBACORE","3336"
"2001","T","NZ",,"ALB","ALBACORE","2736"
"2002","T","NZ",,"ALB","ALBACORE","3012"
"2003","T","NZ",,"ALB","ALBACORE","3721"
"2004","T","NZ",,"ALB","ALBACORE","3212"
"2005","T","NZ",,"ALB","ALBACORE","2855"
"2006","T","NZ",,"ALB","ALBACORE","2043"
"2007","T","NZ",,"ALB","ALBACORE","1736"
"2007","T","NZ",,"PBF","PACIFIC BLUEFIN TUNA","1"
"2008","T","NZ",,"ALB","ALBACORE","3352"
"2009","T","NZ",,"ALB","ALBACORE","1794"
"2009","T","NZ",,"SKJ","SKIPJACK TUNA","9"
"2010","T","NZ",,"ALB","ALBACORE","1832"
"2010","T","NZ",,"SKJ","SKIPJACK TUNA","8"
"2010","T","NZ",,"PBF","PACIFIC BLUEFIN TUNA","4"
"2011","T","NZ",,"ALB","ALBACORE","2787"
"2011","T","NZ",,"SKJ","SKIPJACK TUNA","13"
"2011","T","NZ",,"PBF","PACIFIC BLUEFIN TUNA","4"
"2012","T","NZ",,"ALB","ALBACORE","2727"
"2012","T","NZ",,"SKJ","SKIPJACK TUNA","13"
"2012","T","NZ",,"PBF","PACIFIC BLUEFIN TUNA","4"
"2013","T","NZ",,"ALB","ALBACORE","2836"
"2013","T","NZ",,"BET","BIGEYE TUNA","2"
"2013","T","NZ",,"SKJ","SKIPJACK TUNA","6"
"2013","T","NZ",,"PBF","PACIFIC BLUEFIN TUNA","4"
"2014","T","NZ",,"ALB","ALBACORE","1937"
"2014","T","NZ",,"SKJ","SKIPJACK TUNA","14"
"2015","T","NZ",,"ALB","ALBACORE","2425"
"2015","T","NZ",,"SKJ","SKIPJACK TUNA","8"
"2016","T","NZ",,"ALB","ALBACORE","1969"
"2016","T","NZ",,"SKJ","SKIPJACK TUNA","1"
"2016","T","NZ",,"YFT","YELLOWFIN TUNA","2"
"2017","T","NZ",,"ALB","ALBACORE","1953"
"2017","T","NZ",,"SKJ","SKIPJACK TUNA","3"
"2017","T","NZ",,"YFT","YELLOWFIN TUNA","2"
"2018","T","NZ",,"ALB","ALBACORE","2255"
"2018","T","NZ",,"SKJ","SKIPJACK TUNA","18"
"2019","T","NZ",,"ALB","ALBACORE","2635"
