,Year,SpawnBio,SpawnBio.1,SpawnBio.2,SpawnBio.3,SpawnBio.4,SpawnBio.5,SpawnBio.6,SpawnBio.7,SpawnBio.8,SpawnBio.9,SpawnBio.10,SpawnBio.11,SpawnBio.12,SpawnBio.13,SpawnBio.14,SpawnBio.15,SpawnBio.16,SpawnBio.17,SpawnBio.18,SpawnBio.19,SpawnBio.20,SpawnBio.21,SpawnBio.22,SpawnBio.23,SpawnBio.24,SpawnBio.25,SpawnBio.26,SpawnBio.27,SpawnBio.28,SpawnBio.29,SpawnBio.30,SpawnBio.31,SpawnBio.32,SpawnBio.33,SpawnBio.34,SpawnBio.35,SpawnBio.36,SpawnBio.37,SpawnBio.38,SpawnBio.39,SpawnBio.40,SpawnBio.41,SpawnBio.42,SpawnBio.43,SpawnBio.44,SpawnBio.45,SpawnBio.46,SpawnBio.47,SpawnBio.48,SpawnBio.49,SpawnBio.50,SpawnBio.51,SpawnBio.52,SpawnBio.53,SpawnBio.54,SpawnBio.55,SpawnBio.56,SpawnBio.57,SpawnBio.58,SpawnBio.59,SpawnBio.60,SpawnBio.61,SpawnBio.62,SpawnBio.63,SpawnBio.64,SpawnBio.65,SpawnBio.66,SpawnBio.67,SpawnBio.68,SpawnBio.69,SpawnBio.70,SpawnBio.71,SpawnBio.72,SpawnBio.73,SpawnBio.74,SpawnBio.75,SpawnBio.76,SpawnBio.77,SpawnBio.78,SpawnBio.79,SpawnBio.80,SpawnBio.81,SpawnBio.82,SpawnBio.83,SpawnBio.84,SpawnBio.85,SpawnBio.86,SpawnBio.87,SpawnBio.88,SpawnBio.89,SpawnBio.90,SpawnBio.91,SpawnBio.92,SpawnBio.93,SpawnBio.94,SpawnBio.95,SpawnBio.96,SpawnBio.97,SpawnBio.98,SpawnBio.99,,
21,1995,1468.66,1440.22,2318.17,1373.38,1468.55,1446.43,2347.88,1551.59,1672.86,1734.36,1970.24,2238.25,2003.28,1567.72,1852.53,1345.54,1341.67,1905.95,1952.53,1956.89,1337.54,3865.3,1936.74,1785.16,1953.17,1842.74,1796.58,2315.63,1625.17,1725.44,1450.88,1589.62,1855.75,1837.88,1293.21,1900.67,1658.58,1637.6,2529.5,1622.86,1450.61,1774.79,1565.77,1742.69,1344.31,1900.86,1960.59,1338.2,1750.46,1684.71,1114.32,1550.5,1577.37,1383.17,1590.74,1653.28,1817.32,1790.09,1684.11,2278.64,2032.71,1733.09,1490.98,1665.56,1582.01,1735.72,1651.64,1937.16,1291.57,1656.84,1722.86,1620.67,1972.78,1840.46,2023.11,1543.25,1833.9,1934.73,1527.09,1699.22,2054.41,1720.65,1976.65,1639.56,1738.56,1480.78,1898.43,2012.36,2317.62,1731.2,2126.86,1458.92,1514.67,2037.97,1569.39,1708.69,1654,1855.69,1803.5,3591.37,1778.5588,385.2915335
22,1996,1271.5,1063.91,1463.91,909.256,876.682,1176.6,1491.9,1065.23,1351.44,1196.27,1525.94,1680.17,1605.12,1075.95,1276.89,931.778,1016.06,1142.42,1143.49,1384.91,987.463,3173.15,1316.88,1191.69,1208.95,1222.87,1223.65,1575.08,1268.43,1092.33,985.669,1100.16,1057.53,1269.94,993.412,1138.15,1038.81,990.067,1674.17,1001.8,1200.3,1235.25,1038.15,874.138,881.223,1299.09,1197.32,865.089,1159.48,1131.6,892.508,1235.43,1099.35,1085.64,1026.75,1180.55,1230.12,1191.98,1252.22,1469.1,1317.87,1303.33,1078.17,1079.46,1157.31,1116.46,972.244,1132.57,970.346,1277.45,1188.8,1222.34,1335.84,1216.75,1379,1171.4,1439.56,1566.36,942.273,1148.71,1218.03,1083.93,1369.24,1210.8,1307.64,989.753,1388.91,1394.99,1343.92,1093.57,1450.25,1003.04,1154.76,1442.02,1348.67,1191.01,1204.61,1242.73,1146.45,2494.3,1227.99781,296.779815
23,1997,1161.66,1086.03,1336.59,934.603,947.365,1046.24,1510.5,1114.56,1402.86,1172.29,1484.15,1770.27,1763.5,1245.72,1155.15,970.033,973.531,968.69,1144.25,1426.43,1015.07,3218.45,1166.53,1152.76,1327.79,1383.89,1027.95,1424.38,1209.42,835.223,1080.32,1194.4,1048.69,1333.13,1103.81,1346.46,1073.32,1170.1,1472.33,1101.17,1164.52,1248.49,1038.59,910.384,1148.22,1146.58,1256.97,871.044,1287.24,1080.13,1023.89,1247.04,1154.51,1200.62,1116.79,1006.9,1270.21,1090.31,1257.27,1321.67,1255.85,1292.7,1202.93,1095.75,1336,979.868,1083.5,1220.29,1141.69,1090.47,1420.14,1233.98,1147.94,1193.42,1458.44,1279.92,1480.64,1537.47,879.918,1226.47,1202.59,1117.61,1334.12,1289.92,1189.1,1173.58,1441.46,1452.12,1391.44,1085.33,1527.01,867.744,1138.46,1239.9,1122.39,1426,1267.33,1266.32,1096.71,2791.27,1241.18783,311.6000601
24,1998,1018.29,984.774,1069.85,743.906,957.069,953.001,1500.23,1105.01,1228.88,1109.44,1208.61,1509.81,1414.08,1278.28,999.115,743.027,916.945,841.029,1164.86,1226.6,1047.58,2768.25,1078.77,1090.81,1119.54,1158.41,1061.95,1285.73,798.753,653.813,804.302,986.358,985.776,1008.18,1023.34,1192.78,1074.55,1163.09,1280.3,1068.3,851.02,1150.6,1023.79,905.838,850.59,1130.3,954.826,774.772,1140.68,962.197,958.801,1030.66,1128.01,1161.32,866.759,899.887,1164.14,1044.69,1147.74,1155.93,963.595,1215.97,893.474,1079.98,1086.47,818.79,1153.55,1047.28,896.053,943.622,1253.42,1105.4,1000.18,1270.36,1405.36,1205.48,1265.87,1418.62,985.008,963.481,943.533,987.388,1027.85,1196.99,1121.27,1078.23,1296.26,1106.59,1005.1,1069.3,1170.98,701.199,1034.87,1028.55,930.714,1258.21,1204.69,1096.54,1093.61,2686.16,1099.35935,285.8558603
25,1999,1026.16,1173.85,1207.4,713.446,1042.95,887.187,1482.77,1181.42,1079.97,1081.38,1234.7,1560.83,1574.06,1313.71,1046.42,875.3,916.068,1088.8,1044.34,1132.03,1057.01,2513.8,1088.12,1220.44,994.093,1059.24,917.92,1231.99,808.775,868.202,913.948,1040.68,967.769,991.881,898.193,1055.21,981.143,1152.49,1271.17,1018.18,966.502,1160.37,993.81,1076.17,969.889,1135.3,877.419,721.975,1120.73,846.044,883.721,1161.7,1159.91,1399.78,983.489,971.105,1210.53,1007.5,1211.36,1241.79,1081.3,1020.52,952.466,1114.69,1152.51,929.923,1188.23,1267.01,830.551,1046.87,1218.72,1109.32,1097.78,1406.06,1383.19,1252.67,1277.04,1210.08,1033.66,1149,935.962,1028.06,1110.33,1222.66,1329.64,1090.15,1259.94,1081.58,1160.5,1182,1142.72,860.254,1169.41,949.427,998.329,1245.76,1219.11,1096.68,1606.05,2439.12,1126.61411,257.4889989
26,2000,1145.79,1255.5,1514.81,849.251,1009.59,1027.76,1454.45,1241.27,1135.91,1131.32,1248.25,1722.82,1669.56,1455.6,1228.9,825.316,983.673,1112.54,995.848,1349.83,1054.39,2743.05,1294.5,1396.2,1060.62,1199.27,906.624,1217.83,1071.91,956.981,911.6,1044.99,1175.33,1039.42,861.06,1211.64,818.379,1178.42,1357.07,1140.46,986.6,1304.49,1056.47,1161.5,1073.22,1105.07,994.385,887.249,1063.49,1135.35,907.314,1050.66,1183.53,1348.98,1249.03,1023.74,1162.35,1228.18,1225.1,1538.34,1275.95,1223.99,1205.63,1166.89,1225.82,1025.22,1098.55,1359.18,912.918,1206.53,1292.68,1147.3,1195.9,1356.24,1329.99,1251.57,1154.28,1332.29,1073.09,1251.95,1136.24,1187.5,1276.09,1307.47,1638.31,1251.22,1359.52,1111.19,1288.71,1206.78,1288.57,1040.29,1104.71,1180.06,1065.23,1269.49,1109.44,1266.49,1672.12,2541.56,1210.69738,273.21455
27,2001,1138.79,1091.91,1727.15,917.901,1023.44,1120.78,1567.74,1212.07,1215.17,1145.38,1406.98,1534.64,1571.97,1408.24,1422.54,716.255,1026.83,1180.08,932.767,1488.45,919.473,2845.14,1360.34,1290.51,1133.29,1303.64,1021.67,1124.36,1228.96,911.688,1041.63,973.349,1156.81,1333.08,936.074,1248.43,903.993,1140.93,1206.69,1104,1019.26,1309,1028,1039.59,910.475,1197,1145.47,976.673,1129.94,1295.28,1073.97,1011.57,1203.56,1327.73,1291,1052.36,1157,1306.11,1172,1326.03,1065.25,1221.9,1351.51,1123.12,1195.53,986.063,904.266,1331.34,897.985,1116.3,1204.43,1038.99,1100.06,1332.86,1285.7,1242.82,1132.29,1409.87,983.636,1264.52,1271.92,1158.02,1193.4,1235.33,1582.08,1388.05,1608.58,1029.41,1317,1226.74,1248.88,1088.27,1151.58,1295.25,1069.41,1242.43,992.959,1167.06,1616.96,2381.86,1214.58787,274.3836716
28,2002,1356.41,1343.45,2057.56,1215.93,1110.36,1454.3,1889.09,1517.14,1621.96,1345.23,1650.59,1710.85,1549.88,1454.54,1728.45,958.389,1405.47,1503.22,1351.02,1885.82,1194.97,3207.11,1620.31,1640.08,1367.73,1539.98,1451.45,1413.69,1340.82,992.896,1322.6,1114.26,1331.49,1482.48,1114.56,1423.89,1166.91,1224.43,1492.06,1349.53,1403.74,1493.04,1172.15,1178.1,1276.61,1527.48,1346.77,1173.57,1589.7,1571.23,1422.29,1508.9,1380.31,1696.45,1450.07,1362.53,1487.92,1471.46,1356.37,1656.08,1335.73,1584.93,1567.95,1451.74,1555.34,1433.36,1271.08,1354.1,1125.39,1251.66,1492.04,1422.91,1332.21,1672.72,1453.04,1547.83,1394.24,1509.91,1240.63,1599.04,1578.59,1327.32,1183.82,1401.95,1675.73,1471.12,1771.8,1334.8,1589.73,1589,1607.18,1394.39,1422.03,1500.66,1378.14,1469.09,1399.41,1373.74,1770.3,2779.45,1470.39775,289.7797834
29,2003,1504.04,1516.39,2205.47,1061.63,1117.47,1465.81,1761.1,1658.77,1501.93,1338.68,1463.39,1680.53,1757.04,1460.37,1721.43,1021.83,1426.37,1485.76,1578.4,1787.27,1183.25,3313.24,1607.73,1494.59,1203.35,1539.21,1270.2,1532.43,1290.85,1104.67,1280.79,1076.27,1404.67,1524.11,1179.07,1552.81,1199.52,1255.23,1555.95,1389.67,1453.66,1466.5,1228.62,1057.9,1379.97,1561.91,1405.86,1338.22,1632.77,1196.5,1306.6,1572.22,1506.97,1611.98,1474.76,1473.77,1544.99,1322.28,1418.68,1651.74,1505.47,1577.61,1383.98,1361.3,1440.9,1511.48,1466.38,1291.18,1077.39,1314.7,1596.78,1368.27,1411.01,1603.98,1676.05,1531.68,1353.15,1375.63,1402.17,1500.52,1538.72,1324.84,1236.11,1552.02,1601.78,1421.31,1833.17,1483.31,1470.79,1563.06,1678.82,1437.43,1569.41,1507.56,1342.04,1422.66,1616.01,1550.46,1612.01,2920.31,1485.0864,301.4128414
30,2004,2036.43,2082.23,2836.39,1410.34,1470.8,1797.21,2110.83,2222.67,1874.26,2053.24,1724.05,2090.18,2469.19,1843.55,2052.05,1552.15,1789.21,2038.52,2044.63,2282.16,1596.81,3791.72,2104.04,1923.78,1667.8,2243.55,1737.83,1950.94,1759.95,1665.26,1629.2,1548.03,1849.53,2060.78,1621.49,1995.32,1583.02,1779.1,2010.45,1917.1,2026.04,1983.75,1735.02,1459.95,1550.3,1917.81,1778.57,1883.39,1974.14,1538.71,1610.38,1964.81,1974.64,1845.31,2009.96,1945.08,2106.35,1888.84,2019.45,2109.76,1849.77,1925.9,1761.75,1965.14,2053.83,1846.04,1873.71,1800.37,1419.8,1944.57,2026.55,1841.12,1875.98,1964.26,2261.2,2181.19,1831.35,1860.92,1921.35,1874.3,2192.77,1919.92,1834.58,2195.29,1966.05,1872.06,2284.73,2003.51,2035.06,2100.4,2169.97,1792.32,2002.7,2112.5,1799.22,1939.24,1940,2020.58,2252.33,3687.17,1957.3755,341.1837048
31,2005,1925.22,1999.32,2658.74,1534.24,1380.92,1752.72,2043.49,2099.45,1895.76,2010.34,1940.88,2067.99,2458.95,2105.03,1959.28,1383.26,1599.17,1994.35,2016.31,2251.27,1552.17,3530.27,2111.15,1942.56,1701.05,2169.07,1740.8,1907.83,1774.5,1764.72,1594.41,1450.18,1782.1,1853.01,1512.05,1903.19,1388.24,1575.2,2116.09,1948.75,1927.76,1920.48,1687.28,1455.5,1429.9,1901.05,1604.24,1673.32,1973.27,1481.81,1442.07,1978.24,1593.72,1858.74,1909.67,1814.12,2046.79,1858.95,1939.03,2161.63,1976.94,1742.2,1653.9,1835.94,2085.12,1694.98,1930.63,1691.79,1299.61,1952.83,2017.46,1703.41,1909.74,1848.22,2219.45,2070.96,1853.64,1908.56,1823.5,1947.02,2245.9,1893.86,2002.74,1916.94,1996.25,1633.2,2128.52,1875.16,2128.39,2021.44,2077.57,1544.68,1782.74,1984.65,1772.15,1765.48,1795.18,2003.48,2161.33,3749.73,1896.9689,346.3659687
32,2006,1410.16,1552.66,2159.35,1221.86,984.201,1366.71,1678.03,1530.69,1613.74,1590.86,1583.32,1739.74,1959.3,1724.37,1506.75,1132.81,1250.94,1528.15,1571.15,1912.04,1268.92,3192.81,1633.61,1606.89,1281.77,1755.41,1333.43,1414.5,1384.57,1450.79,1183.96,1107.29,1389.9,1477.81,1194.91,1486.49,1036.9,1205.78,1722.36,1482.86,1481.7,1460.93,1268.6,1085.37,1113.39,1441.06,1245.66,1392.47,1505.62,1096.23,989.438,1590.51,1269.45,1498.25,1401.36,1318.06,1528.1,1447.06,1483.22,1666.35,1582.5,1461.1,1216.96,1356.1,1696.21,1221.3,1581.8,1419,1088.02,1624.94,1587.94,1313.86,1481.4,1557.8,1750.23,1600.81,1479.06,1541.53,1345.22,1573.14,1702.87,1448.6,1660.78,1430.06,1650.98,1324.78,1840.43,1463.23,1667.57,1560.74,1781.99,1113.94,1297.62,1552.06,1354.98,1423.8,1363.28,1565.93,1707.83,3261.1,1495.62109,328.9657834
33,2007,1335.04,1553.24,2089.7,1223.26,1026.31,1442.44,1716.93,1382.19,1722.56,1658.07,1585.88,1931.88,1895.3,1716.71,1534.49,1305.57,1209.03,1485.82,1545.17,1904.37,1412.74,3345.2,1627.07,1624.19,1222.48,1743.02,1327.57,1353.98,1346.85,1520.47,1277.99,1237.21,1456.8,1611.98,1342.49,1498.91,1203.45,1354.42,1767.62,1555.07,1448.47,1556.1,1240.84,1175.51,1250.47,1484.15,1414.65,1496.24,1465.18,1325.43,1053.31,1652.76,1417.15,1547.17,1384.43,1313.93,1582.48,1530.85,1564.29,1655.44,1543.64,1466.11,1304.61,1343.83,1671.94,1388.32,1616.12,1594.56,1275.51,1545.22,1651.25,1403.78,1389.15,1588.33,1601.63,1572.26,1612.73,1603.52,1247.46,1567.53,1605.65,1529.51,1560.11,1477.23,1669.67,1450.83,1952.7,1638.58,1674.82,1533.93,1841.57,1235.18,1325.51,1580.87,1387.74,1472.49,1334.52,1447.74,1801.3,3331.64,1534.9141,323.0605479
34,2008,1021.54,1227,1684.32,931.775,849.552,1204.1,1313.86,1112.31,1362.96,1304.17,1183.3,1532.2,1418.35,1203.03,1120.48,889.151,1003.17,1104.94,1232.66,1460.06,1092.55,3141.6,1223.83,1151.18,1047.56,1392.99,1092.82,1171.66,1017.25,1202.01,1088.16,957.255,1154.42,1199.68,1068.89,1174.65,926.211,1057.59,1411.33,1105.3,1152.43,1283.46,938.039,931.189,1053.55,1181.11,1213.35,1029.2,1309.02,1046.69,892.615,1340.87,1172.45,1203.45,1116.42,1018.43,1358.07,1256.77,1242.95,1335.01,1162.12,1138.37,1077.88,969.347,1316.85,1183.95,1265.5,1216.56,921.97,1117.16,1291.17,1184.74,1106.75,1225.26,1279.39,1395.32,1183.81,1381.31,986.458,1260.31,1240.03,1210.83,1296.33,1171.36,1394.03,1213.87,1457.7,1461.63,1368.32,1298.73,1483.45,982.46,1211.17,1290.24,1077.95,1145.87,1083.39,1118.38,1439.78,2939.61,1224.60292,304.9910069
35,2009,1063.65,1353.73,1586.25,1003.81,965.269,1307.79,1445.29,1225.82,1327.8,1256.48,1216.08,1409.42,1325.69,1186.06,1238.2,850.561,1076.04,1184.26,1265.45,1363.88,967.24,2926.82,1175.17,1213.79,1121,1347.73,1153.78,1363.96,1078.33,1118.26,1068.19,1077.37,1077.7,1257.29,1014.57,1294.1,975.856,977.212,1432.08,1217.9,1154.51,1308.21,981.433,935.262,1062.33,1186.12,1316.41,1012.16,1381.47,1048.88,920.476,1322.77,1322.17,1283.8,1126.16,1044.4,1397.71,1301.51,1260.71,1310.08,1110.69,1137.22,1099.04,1075.79,1347.83,1118.32,1164.45,1226.44,979.21,1016.74,1311.92,1215.94,1150.34,1276.1,1337.75,1333.26,1063.75,1509.66,1050.37,1384.06,1326.07,1236.03,1288.02,1233.39,1384.5,1254.08,1356.83,1483.96,1377.5,1308.87,1394.57,1031.03,1252.06,1218.79,1097.31,1176.94,1184.25,1167.01,1435.77,2997.36,1242.99669,287.9705431
36,2010,1037.27,1310.58,1496.27,993.427,910.864,1235.77,1330.67,1318.67,1273.88,1253.85,1253.53,1407.74,1328.5,1167.35,1351.77,850.767,1057.84,1256.34,1147.69,1370.37,1000.58,2521.09,1220.98,1190.49,1113.53,1296.84,1174.73,1295.69,1118.9,1007.89,997.646,1008.45,1135.89,1144.95,878.743,1234.36,971.428,975.886,1422.59,1224.28,1176.21,1260.39,858.815,967.988,932.591,1163.27,1224.01,1040.96,1155.49,1131.85,948.012,1326.24,1300.49,1206.37,1244.65,975.22,1347.76,1167.13,1145.25,1370.84,1186.73,1103.19,1101.64,967.042,1327.67,1091.18,1071.72,1289.21,906.905,998.94,1218.71,1114.05,1113.15,1336.49,1391.62,1305.91,1183.55,1449.96,1014.62,1320.55,1238.8,1297.01,1273.39,1242,1436.94,1199.7,1377.15,1142.63,1283.21,1210.97,1198.52,1004.65,1089.48,1121.69,1010.51,1227.43,1189.74,1077.64,1328.84,2878.92,1205.53684,260.8092032
37,2011,844.213,1127.29,1443.96,819.32,754.668,1083.5,1225.81,1083.14,1050.5,1213.44,1334.14,1315.46,1161.62,1024.27,1194.32,766.312,960.327,1093.38,1028.36,1202.24,872.627,2457.73,1060.76,1089.92,963.119,1145.3,983.754,1136.64,985.349,832.078,896.865,813.079,1044.86,1030.36,842.794,1023.74,781.747,895.336,1198.83,1066.59,934.863,1295.2,737.493,838.221,856.575,976.559,1113.05,1024.14,951.802,1063.62,816.458,1120.42,1127.24,994.75,1130.32,914.371,1101.18,935.902,958.103,1381.9,1158.52,1042.32,1020.94,897.296,1090.57,887.916,1083.23,1192.39,751.654,975.709,1090.48,983.172,1005.92,1290.19,1376.34,1130.5,1050.19,1356.17,868.87,1244.76,1186.92,1086.59,1210.08,1044.68,1254.94,1037.72,1293.32,1040.47,1209.78,1149.61,1103.16,866.36,1057.17,1024.11,911.59,1150.18,957.261,1070.17,1198.65,2710.95,1081.80763,265.9381081
38,2012,1005.38,1377.7,1592.86,935.08,1002.33,1163.04,1320.6,1258.07,1156.24,1354.65,1433.38,1449.74,1308.3,1217.89,1192.14,998.1,1056.08,1263.43,1183.45,1362.65,1005.67,3009.48,1059.15,1141.03,1069.92,1389.36,1179.79,1250.84,1105.63,1030.77,1126.98,832.954,1295.94,1128.68,1102.01,1066.74,905.893,994.926,1293.24,1166.12,1035.09,1384.51,943.6,993.098,1038.36,1130.13,1347.05,1124.62,1140.53,1268.82,981.132,1156.3,1271.44,1108.34,1163.38,1089.84,1114.51,1134.41,1008.38,1609.22,1269.7,1130.64,1207.64,1033.55,1199.72,976.914,1296.88,1266.89,882.284,1187.55,1261.85,1105.99,1118.2,1382.42,1607.81,1292.72,1105.21,1406.54,1125.51,1363.31,1255.39,1261.33,1339.86,1077.91,1299.93,1133.68,1445.21,1165.24,1311.29,1209.19,1244.87,1046.68,1296.01,1171.69,1231.95,1336.98,1080.51,1256.6,1311.24,2829.39,1223.55271,287.8811515
39,2013,1010.27,1151.34,1464.85,783.346,874.694,1027.2,1268.83,1099.12,1214.96,1080.81,1080.99,1319.46,1214.08,1108.55,1142.81,741.319,885.752,1120.3,1186.79,1279.41,858.591,2977.06,1025.3,1177.38,893.844,1260.35,998.693,1096.28,874.293,991.753,1055.64,776.171,1108.16,974.323,1000.8,975.032,809.282,939.238,1117.92,915.554,982.578,1276.94,851.737,844.737,942.419,1046.92,1139.4,929.211,1139.83,1180.43,889.917,980.603,1120.72,1073.13,988.753,1022.42,1022.71,1023.71,1001.32,1359.72,1149.48,1122.94,1026.7,880.195,991.62,868.875,1028.8,1060.42,754.913,1091.04,1088.91,1036.06,989.074,1226.57,1325.01,1223,999.146,1356.31,1014.13,1121.48,1095.43,1132.59,1182.18,986.951,1263.66,854.034,1295.64,986.347,1217.43,1083.9,1302.89,1018.06,1133.7,1107.13,1075.7,1161.3,990.851,1203.26,1238.81,2565.01,1099.47296,282.4325643
40,2014,1035.02,1135.36,1478.13,745.85,873.256,1102.74,1223.79,1029.15,1271.23,1113.08,1180.16,1306.47,1286.26,1117.13,1136.85,753.994,862.231,1104.37,1142.6,1386.4,919.071,3009.55,1080,1182.4,887.927,1250.9,1023.44,1107.85,878.743,989.329,961.075,860.379,1176.11,1046.65,995.642,1190.67,796.633,950.853,1185.15,956.594,889.284,1315.15,1030.51,892.592,984.024,1085.8,1168.11,996.975,1184.1,1176.92,832.561,948.964,1069.69,1080.04,1030.24,1037.71,1047.54,1058.05,1091.17,1246.47,1120.9,1134.95,1003.04,932.307,1057.6,859.093,994.252,1082.03,774.952,1110.6,1096.19,1085.62,1082.81,1175.28,1239.73,1333.46,1125.85,1441.64,1048.51,1107.97,1133.87,1196.87,1155.48,1149.22,1355.89,883.452,1507.33,1001.52,1309.25,1121.27,1299.91,1092.7,1145.51,1160.43,1054.86,1135.51,1045.86,1176.32,1339.24,2634.24,1126.04453,288.9411059
41,2015,1085.82,1131.3,1615.4,820.918,905.253,1202.01,1250.84,1184.59,1374.94,1230.24,1298.24,1285.23,1545.96,1211.11,1229.93,980.97,929.121,1146.83,1142.53,1619.02,997.292,3355.33,1091.1,1239.77,1013.81,1241.2,1024.07,1232.77,1045.49,1125.4,1048.71,984.299,1267.88,1245.37,1087.62,1359.6,914.708,1028.29,1378.72,1113.74,911.21,1365.56,1053.1,980.845,1016.44,1125.95,1296.68,1186.4,1322.6,1223.11,955.093,1108.74,1132.69,1164.89,1192.15,1100.6,1259.2,1111.2,1153.48,1239.35,1235.39,1086.99,1015.57,1183.8,1159.77,923.579,1014.62,1215.01,901.599,1316.16,1241.66,1022.51,1242.61,1198.41,1382.97,1462.45,1308.83,1541.94,1040.89,1255.53,1217.73,1267.81,1254.74,1317.1,1416.19,1048.2,1733.39,1106.13,1383.67,1255,1353.19,1006.2,1153,1244.02,1094.74,1240.21,1213.04,1271.77,1484.47,2865.87,1225.61467,320.2762852
42,2016,1062.95,1135.41,1744.7,789.553,931.888,1183.27,1390.91,1313.52,1371.9,1226.76,1365.18,1423.77,1616.86,1175.07,1140.35,984.251,985.796,1208.07,1079.94,1759.6,1042.92,3713.22,1054.24,1184.26,1074.82,1333.04,1048.74,1232.83,1118.41,1207.96,1167.42,936.52,1277.84,1299.17,1000.98,1384.04,961.304,1051.25,1404.99,1089.98,1020.59,1455.84,1020.19,1045.57,943.977,1158.22,1230.01,1162.07,1304.42,1189.4,1006.88,1107.75,1152.42,1146.97,1205.1,1072.23,1207.16,1079.52,1172.62,1281.78,1247.6,1104.76,1048.83,1203.52,1246.62,1077.01,1030.38,1238.42,901.899,1397.62,1282.2,1096.43,1319.86,1214.87,1459.76,1539.17,1409.87,1546.1,1145.47,1334.68,1225.03,1275.09,1401.96,1271.98,1477.2,1216.48,1765.69,1183.03,1396.35,1342.96,1435.3,998.647,1205.11,1278.2,1051.69,1346.63,1347.59,1313.99,1566.32,3034.43,1264.15145,358.7923575
43,2017,906.418,1148.49,1558.07,754.296,908.775,1077.99,1418.95,1283.55,1493.05,1186.99,1348.42,1529.73,1648.01,1202.19,1008.4,920.961,968.714,1281.87,945.687,1720.87,1129.2,3607.81,1018.87,1038.28,981.372,1261.65,987.245,1176.31,1073.39,1053.03,1042.97,906.037,1279.55,1109.76,917.02,1148.18,956.94,989.584,1228.88,1088.61,1044.76,1439.83,832.057,1001.17,928.322,1226.35,1088.37,1073.87,1191.56,1053.92,982.229,1000.51,1128.74,1059.18,1162.67,1010.77,1209.25,1130.74,1103.17,1192.12,1143.29,1118.22,1016.32,1126.66,1276.19,998.469,1013.4,1158.44,882.786,1289.13,1164,1111.01,1223.1,1198.41,1326.9,1368.91,1278.07,1373.77,1038.71,1185.67,1284.31,1120.07,1392.79,1127.58,1365.09,1188.1,1601.61,1115.62,1320.3,1255,1456.6,994.473,1402.59,1236.07,923.077,1235.4,1296.8,1223.75,1461.45,2858.32,1203.16162,348.8348914
44,2018,1038.02,1186.76,1573.67,750.273,891.937,1031.29,1477.87,1313.41,1477.53,1328.68,1330.92,1555.1,1757.16,1262.68,1061.35,1011.43,938.005,1335.67,977.489,1777.96,1085.86,3525.24,1079.95,1006.87,1015.86,1265.65,1022.85,1192.36,1068.48,952.936,930.116,976.499,1444.11,1127.24,969.063,1073.85,940.249,993.194,1138.17,1075.24,953.867,1517.49,817.275,935.063,965.269,1262.89,1172.22,1087.52,1209.18,1020.59,1061.3,957.775,1203.09,1144.04,1181.69,1082.61,1200.37,1174.14,1163.85,1236.54,1052.13,1113.3,1053.48,1101.35,1261.5,954.137,1140.89,1117.48,913.197,1236.64,1278.39,1031.76,1282.59,1185.82,1300.47,1446.19,1172.84,1416.9,1003.66,1117,1394.62,1118.38,1516.66,1075.97,1299.43,1146.18,1746.63,1228.8,1359.74,1247.79,1346.88,997.241,1476.94,1314.66,983.695,1170.01,1202.09,1244.1,1510.69,2747.32,1216.1531,345.781442
45,2019,982.109,1176.46,1587.77,737.43,992.445,944.536,1472.1,1192.48,1399.43,1398.64,1198.18,1380.84,1622.23,1278.45,1057.6,950.58,882.172,1236.54,992.122,1602.81,960.303,3393.34,1056.73,1107.64,1122.43,1211.84,990.825,1107.45,981.926,988.288,988.116,971.863,1420.09,1091.74,917.581,1006.89,1035.52,1093.92,1139.86,888.149,871.777,1436.34,957.672,1009.89,1038.81,1120.73,1184.66,1117.93,1168.4,972.051,1149.86,911.177,1117.7,1110.03,1045.16,1033.29,987.537,1111.7,1132.95,965.795,912.717,1139.26,1050.11,1110.26,1161.85,879.842,1101.78,925.003,988.968,1144.97,1253.99,1101.36,1307.11,1136.59,1231.34,1286.04,1225.6,1545.98,929.329,1078.26,1282.64,999.769,1470.39,877.055,1050.02,1098.74,1842.85,1196.54,1318.86,1209.14,1345.13,855.683,1372.04,1208.93,910.927,1105.49,1161.67,1384.06,1511.55,2721.58,1174.36307,337.6260553
46,2020,1510.14,1709.1,2308.71,1366.65,1525.16,1494.1,2065.4,1723.05,2296.03,2015.83,1768.23,2025.33,2122.22,1763.89,1546.38,1245.67,1409.44,1479.78,1436.55,2211.73,1448.08,4213.39,1502.92,1664,1862.17,1660.78,1447.1,1522.41,1572.23,1545.77,1397.51,1770.89,2084.91,1574.23,1472.26,1479.01,1890.31,1775.01,2043.82,1426.07,1414.99,1990.5,1708.67,1552.41,1679.19,1737.44,1671.48,1944.12,1585.17,1581.59,1668.74,1404.53,1447.36,1722.71,1384.72,1624.09,1268.11,1595.26,1681.76,1310.02,1243.43,1742.56,1773.21,1673.54,1520.21,1361.8,1567.68,1472.18,1749.18,1494.54,1942.58,1783.45,2058.56,1818.58,1670.24,1640.42,2255.24,2407.7,1672.41,1468.29,1818.42,1437.01,2040.53,1475.27,1501.49,1591.98,2620.86,1747.38,1807.59,1775.48,2136.35,1265.07,1907.41,1730.4,1109.08,1597.05,1828.62,2091.27,2068.21,3453.31,1736.677,414.1656845
