,Year,Value,Value.1,Value.2,Value.3,Value.4,Value.5,Value.6,Value.7,Value.8,Value.9,Value.10,Value.11,Value.12,Value.13,Value.14,Value.15,Value.16,Value.17,Value.18,Value.19,Value.20,Value.21,Value.22,Value.23,Value.24,Value.25,Value.26,Value.27,Value.28,Value.29,Value.30,Value.31,Value.32,Value.33,Value.34,Value.35,Value.36,Value.37,Value.38,Value.39,Value.40,Value.41,Value.42,Value.43,Value.44,Value.45,Value.46,Value.47,Value.48,Value.49,Value.50,Value.51,Value.52,Value.53,Value.54,Value.55,Value.56,Value.57,Value.58,Value.59,Value.60,Value.61,Value.62,Value.63,Value.64,Value.65,Value.66,Value.67,Value.68,Value.69,Value.70,Value.71,Value.72,Value.73,Value.74,Value.75,Value.76,Value.77,Value.78,Value.79,Value.80,Value.81,Value.82,Value.83,Value.84,Value.85,Value.86,Value.87,Value.88,Value.89,Value.90,Value.91,Value.92,Value.93,Value.94,Value.95,Value.96,Value.97,Value.98,Value.99,Mean,StandDev
11,2031,5051.06,4676.36,4398.07,5490.9,5187.1,5075.2,4548.72,4590.81,4834.67,4794.57,4651.85,4508.21,4279.4,4854.83,4718.23,5600.53,5433.91,4625.95,4722.16,4609.96,5194.03,4168.99,4636.19,4771.87,4982.04,4669.44,5042.65,4496.76,5132.23,5163.64,4825.15,5285.79,5066.74,4837.27,5234.07,4764.64,5297.56,5397.45,4603.44,4768.57,4889.28,4895.47,5390.64,5116.43,5327.25,4679.76,4816.04,5413.19,4710.8,4989.04,5452.86,4856.01,4856.66,4939.14,4678.77,4986.31,4351.91,4758.4,4913.98,4246.32,4501.37,4944.51,5253.53,4844.95,4669.79,5169.84,4946.41,4769.52,5351.29,4754.41,4762.4,4970,4895.31,4638.76,4535.1,4652.08,4658.51,4726.74,5212.28,4857.3,4581.8,4702.04,4751.55,4489.11,4684.36,4838.76,4684.89,4895.05,4421.2,4752.16,4617.95,5280.2,4967.32,4689.03,4773.47,4522.67,4731.49,4742.56,4556.04,4218.12,4842.7314,301.9079365
12,2032,5057.52,4685.67,4402.43,5505.73,5201.96,5080.35,4551.43,4599.19,4833.93,4799.63,4655.12,4509.62,4286.38,4852.41,4722.67,5609.53,5441.36,4634.47,4731.28,4610.17,5198.81,4167.31,4644.47,4775.97,4991.1,4675.44,5044.08,4508.35,5136.31,5168.92,4835.59,5291.51,5064.59,4840.31,5245.32,4774.37,5306.5,5395.06,4604.35,4775.84,4900.18,4893.98,5399.03,5126.73,5333.35,4686.51,4820.78,5417.58,4714.67,4990.91,5460.23,4857.06,4861.02,4936.81,4690.81,4996.01,4362.34,4764.21,4919.28,4256.71,4509.85,4949.93,5253.31,4848.41,4677.01,5176.65,4951.73,4772.54,5364.93,4761.99,4766.57,4974.84,4897.49,4646.19,4539.29,4657.88,4665.31,4725.22,5217.3,4854.58,4590.1,4711.62,4756.8,4501.78,4685.96,4849.74,4683.19,4898.57,4429.58,4758.93,4614.81,5288.28,4972.06,4697.68,4784.83,4533.51,4738.68,4748.72,4556.06,4210.12,4848.2529,302.5359245
13,2033,5061.48,4691.49,4405.18,5514.72,5210.99,5083.54,4553.13,4604.39,4833.47,4802.75,4657.16,4510.5,4290.77,4850.92,4725.45,5615.01,5445.91,4639.79,4736.93,4610.3,5201.75,4166.2,4649.59,4778.51,4996.64,4679.2,5044.96,4515.57,5138.79,5172.15,4842,5294.98,5063.27,4842.19,5252.18,4780.37,5311.92,5393.62,4604.91,4780.33,4906.89,4893.06,5404.15,5133.04,5337.08,4690.71,4823.7,5420.26,4717.07,4992.05,5464.73,4857.7,4863.73,4935.38,4698.34,5001.97,4368.86,4767.8,4922.57,4263.2,4515.13,4953.27,5253.17,4850.55,4681.5,5180.83,4955.03,4774.4,5373.17,4766.7,4769.16,4977.83,4898.83,4650.82,4541.91,4661.5,4669.5,4724.26,5220.37,4852.9,4595.3,4717.54,4760.08,4509.61,4686.97,4856.55,4682.12,4900.76,4434.8,4763.17,4612.86,5293.21,4974.97,4703.06,4791.81,4540.25,4743.13,4752.54,4556.07,4204.9,4851.6583,302.9289683
14,2034,5063.9,4695.12,4406.93,5520.16,5216.47,5085.51,4554.19,4607.62,4833.18,4804.69,4658.42,4511.04,4293.53,4850,4727.18,5618.34,5448.67,4643.11,4740.44,4610.38,5203.55,4165.48,4652.75,4780.07,5000.02,4681.54,5045.5,4520.06,5140.31,5174.13,4845.93,5297.09,5062.45,4843.36,5256.35,4784.07,5315.2,5392.74,4605.26,4783.1,4911.03,4892.49,5407.28,5136.91,5339.35,4693.33,4825.49,5421.89,4718.56,4992.76,5467.47,4858.1,4865.41,4934.5,4703.04,5005.64,4372.92,4770,4924.61,4267.25,4518.41,4955.32,5253.09,4851.87,4684.3,5183.39,4957.08,4775.55,5378.14,4769.64,4770.76,4979.69,4899.66,4653.7,4543.56,4663.76,4672.08,4723.67,5222.26,4851.86,4598.56,4721.19,4762.13,4514.46,4687.59,4860.76,4681.45,4902.12,4438.07,4765.83,4611.66,5296.21,4976.75,4706.4,4796.09,4544.44,4745.88,4754.89,4556.08,4201.49,4853.7571,303.1663308
15,2035,5065.38,4697.39,4408.03,5523.46,5219.8,5086.73,4554.86,4609.63,4833.01,4805.88,4659.21,4511.38,4295.26,4849.43,4728.27,5620.36,5450.36,4645.18,4742.61,4610.43,5204.66,4165,4654.7,4781.04,5002.08,4683.01,5045.83,4522.86,5141.23,5175.34,4848.34,5298.37,5061.94,4844.08,5258.89,4786.34,5317.18,5392.22,4605.48,4784.8,4913.57,4892.13,5409.18,5139.27,5340.74,4694.95,4826.59,5422.89,4719.49,4993.19,5469.15,4858.35,4866.45,4933.96,4705.96,5007.89,4375.45,4771.36,4925.88,4269.78,4520.45,4956.58,5253.04,4852.68,4686.03,5184.95,4958.34,4776.25,5381.13,4771.46,4771.76,4980.84,4900.17,4655.5,4544.58,4665.17,4673.67,4723.29,5223.41,4851.22,4600.6,4723.43,4763.41,4517.46,4687.98,4863.37,4681.03,4902.97,4440.1,4767.49,4610.91,5298.03,4977.85,4708.48,4798.71,4547.04,4747.59,4756.35,4556.09,4199.26,4855.0495,303.3081137
16,2036,5066.29,4698.81,4408.73,5525.45,5221.82,5087.49,4555.28,4610.87,4832.89,4806.62,4659.7,4511.58,4296.35,4849.07,4728.95,5621.59,5451.38,4646.47,4743.95,4610.46,5205.33,4164.69,4655.91,4781.64,5003.33,4683.92,5046.03,4524.6,5141.79,5176.07,4849.81,5299.15,5061.62,4844.53,5260.44,4787.74,5318.38,5391.9,4605.61,4785.85,4915.13,4891.91,5410.34,5140.71,5341.58,4695.96,4827.27,5423.49,4720.06,4993.46,5470.17,4858.5,4867.1,4933.63,4707.79,5009.27,4377.03,4772.2,4926.66,4271.35,4521.72,4957.36,5253.01,4853.18,4687.11,5185.91,4959.13,4776.69,5382.93,4772.59,4772.38,4981.56,4900.49,4656.61,4545.23,4666.05,4674.66,4723.06,5224.12,4850.82,4601.87,4724.82,4764.21,4519.3,4688.22,4864.98,4680.76,4903.5,4441.37,4768.53,4610.45,5299.14,4978.52,4709.77,4800.31,4548.65,4748.64,4757.24,4556.09,4197.81,4855.8449,303.390888
17,2037,5066.84,4699.7,4409.17,5526.66,5223.04,5087.96,4555.54,4611.64,4832.83,4807.08,4660,4511.71,4297.04,4848.86,4729.37,5622.33,5452,4647.28,4744.78,4610.48,5205.75,4164.48,4656.65,4782,5004.1,4684.49,5046.15,4525.68,5142.14,5176.53,4850.71,5299.62,5061.42,4844.81,5261.38,4788.61,5319.1,5391.7,4605.69,4786.5,4916.1,4891.78,5411.04,5141.59,5342.09,4696.59,4827.68,5423.86,4720.41,4993.62,5470.79,4858.59,4867.5,4933.42,4708.93,5010.12,4378.02,4772.71,4927.15,4272.33,4522.51,4957.84,5252.99,4853.49,4687.78,5186.5,4959.61,4776.95,5384.01,4773.29,4772.77,4982,4900.68,4657.31,4545.63,4666.6,4675.26,4722.91,5224.55,4850.57,4602.67,4725.67,4764.71,4520.44,4688.37,4865.97,4680.59,4903.83,4442.16,4769.17,4610.16,5299.81,4978.93,4710.57,4801.29,4549.65,4749.29,4757.8,4556.09,4196.85,4856.3341,303.4389913
18,2038,5067.18,4700.25,4409.45,5527.39,5223.78,5088.24,4555.7,4612.12,4832.78,4807.36,4660.19,4511.79,4297.46,4848.72,4729.64,5622.78,5452.38,4647.78,4745.29,4610.5,5206,4164.35,4657.11,4782.23,5004.56,4684.84,5046.23,4526.35,5142.34,5176.8,4851.27,5299.91,5061.3,4844.99,5261.95,4789.14,5319.54,5391.58,4605.74,4786.9,4916.69,4891.69,5411.47,5142.13,5342.41,4696.98,4827.94,5424.09,4720.63,4993.72,5471.17,4858.65,4867.75,4933.3,4709.64,5010.64,4378.63,4773.03,4927.45,4272.94,4523,4958.13,5252.98,4853.68,4688.19,5186.86,4959.91,4777.12,5384.67,4773.73,4773,4982.27,4900.8,4657.74,4545.88,4666.94,4675.63,4722.82,5224.81,4850.42,4603.17,4726.2,4765.02,4521.15,4688.47,4866.59,4680.49,4904.04,4442.65,4769.58,4609.98,5300.22,4979.18,4711.06,4801.9,4550.27,4749.69,4758.14,4556.09,4196.23,4856.6356,303.4671328
19,2039,5067.39,4700.59,4409.63,5527.83,5224.23,5088.42,4555.8,4612.41,4832.76,4807.53,4660.31,4511.84,4297.73,4848.64,4729.8,5623.06,5452.61,4648.09,4745.61,4610.5,5206.16,4164.26,4657.39,4782.37,5004.85,4685.07,5046.28,4526.76,5142.47,5176.97,4851.61,5300.08,5061.23,4845.09,5262.3,4789.46,5319.8,5391.51,4605.77,4787.15,4917.05,4891.64,5411.73,5142.46,5342.6,4697.22,4828.1,5424.22,4720.77,4993.78,5471.4,4858.69,4867.9,4933.22,4710.08,5010.96,4379.01,4773.22,4927.64,4273.32,4523.31,4958.31,5252.97,4853.8,4688.45,5187.08,4960.1,4777.22,5385.06,4774,4773.15,4982.44,4900.87,4658.01,4546.04,4667.15,4675.86,4722.77,5224.98,4850.33,4603.48,4726.52,4765.21,4521.58,4688.53,4866.97,4680.42,4904.16,4442.96,4769.83,4609.87,5300.47,4979.33,4711.37,4802.26,4550.66,4749.94,4758.35,4556.09,4195.83,4856.821,303.4833749
20,2040,5067.51,4700.81,4409.74,5528.09,5224.5,5088.53,4555.87,4612.6,4832.74,4807.64,4660.38,4511.87,4297.9,4848.59,4729.91,5623.23,5452.75,4648.29,4745.81,4610.51,5206.26,4164.2,4657.57,4782.46,5005.02,4685.2,5046.31,4527.02,5142.55,5177.08,4851.81,5300.19,5061.18,4845.16,5262.51,4789.66,5319.96,5391.47,4605.79,4787.3,4917.27,4891.61,5411.89,5142.66,5342.72,4697.37,4828.19,5424.31,4720.85,4993.82,5471.54,4858.71,4868,4933.17,4710.35,5011.16,4379.25,4773.34,4927.75,4273.56,4523.5,4958.42,5252.97,4853.87,4688.61,5187.21,4960.22,4777.28,5385.29,4774.17,4773.24,4982.55,4900.92,4658.17,4546.14,4667.29,4676,4722.73,5225.07,4850.27,4603.68,4726.72,4765.33,4521.85,4688.56,4867.2,4680.38,4904.24,4443.15,4769.99,4609.81,5300.63,4979.43,4711.56,4802.49,4550.9,4750.1,4758.48,4556.09,4195.56,4856.9356,303.4926359
