"yy","cond_code","variable","val"
2010,"U","jp",100
2010,"U","circ",100
2010,"U","j",0
2010,"U","soth",0
2011,"A0","jp",100
2011,"A0","circ",0
2011,"A0","j",0
2011,"A0","soth",0
2011,"A1","jp",81
2011,"A1","circ",73
2011,"A1","j",59
2011,"A1","soth",67
2011,"A2","jp",87
2011,"A2","circ",90
2011,"A2","j",0
2011,"A2","soth",0
2011,"A3","jp",95
2011,"A3","circ",79
2011,"A3","j",100
2011,"A3","soth",78
2011,"D","jp",84
2011,"D","circ",69
2011,"D","j",89
2011,"D","soth",10
2011,"NULL","jp",0
2011,"NULL","circ",0
2011,"NULL","j",0
2011,"NULL","soth",0
2011,"U","jp",95
2011,"U","circ",5
2011,"U","j",0
2011,"U","soth",0
2012,"A0","jp",0
2012,"A0","circ",100
2012,"A0","j",0
2012,"A0","soth",0
2012,"A1","jp",84
2012,"A1","circ",69
2012,"A1","j",15
2012,"A1","soth",14
2012,"A2","jp",98
2012,"A2","circ",100
2012,"A2","j",100
2012,"A2","soth",10
2012,"A3","jp",98
2012,"A3","circ",89
2012,"A3","j",100
2012,"A3","soth",10
2012,"D","jp",85
2012,"D","circ",67
2012,"D","j",86
2012,"D","soth",19
2012,"NULL","jp",0
2012,"NULL","circ",99
2012,"NULL","j",0
2012,"NULL","soth",0
2012,"U","jp",60
2012,"U","circ",40
2012,"U","j",0
2012,"U","soth",0
2013,"A0","jp",99
2013,"A0","circ",90
2013,"A0","j",0
2013,"A0","soth",50
2013,"A1","jp",89
2013,"A1","circ",83
2013,"A1","j",32
2013,"A1","soth",58
2013,"A2","jp",89
2013,"A2","circ",78
2013,"A2","j",0
2013,"A2","soth",0
2013,"A3","jp",85
2013,"A3","circ",87
2013,"A3","j",0
2013,"A3","soth",72
2013,"D","jp",86
2013,"D","circ",78
2013,"D","j",32
2013,"D","soth",65
2013,"NULL","jp",100
2013,"NULL","circ",50
2013,"NULL","j",0
2013,"NULL","soth",0
2013,"U","jp",0
2013,"U","circ",100
2013,"U","j",0
2013,"U","soth",0
2014,"A0","jp",100
2014,"A0","circ",100
2014,"A0","j",0
2014,"A0","soth",0
2014,"A1","jp",72
2014,"A1","circ",81
2014,"A1","j",48
2014,"A1","soth",60
2014,"A2","jp",50
2014,"A2","circ",93
2014,"A2","j",0
2014,"A2","soth",47
2014,"A3","jp",91
2014,"A3","circ",94
2014,"A3","j",100
2014,"A3","soth",73
2014,"D","jp",81
2014,"D","circ",79
2014,"D","j",46
2014,"D","soth",63
2014,"NULL","jp",0
2014,"NULL","circ",100
2014,"NULL","j",0
2014,"NULL","soth",0
2014,"U","jp",0
2014,"U","circ",80
2014,"U","j",0
2014,"U","soth",0
2015,"A0","jp",0
2015,"A0","circ",100
2015,"A0","j",100
2015,"A0","soth",0
2015,"A1","jp",63
2015,"A1","circ",88
2015,"A1","j",39
2015,"A1","soth",88
2015,"A2","jp",100
2015,"A2","circ",89
2015,"A2","j",50
2015,"A2","soth",0
2015,"A3","jp",100
2015,"A3","circ",93
2015,"A3","j",50
2015,"A3","soth",0
2015,"D","jp",79
2015,"D","circ",98
2015,"D","j",90
2015,"D","soth",0
2015,"NULL","jp",0
2015,"NULL","circ",0
2015,"NULL","j",0
2015,"NULL","soth",0
2015,"U","jp",0
2015,"U","circ",0
2015,"U","j",0
2015,"U","soth",0
2016,"A0","jp",100
2016,"A0","circ",99
2016,"A0","j",8
2016,"A0","soth",0
2016,"A1","jp",90
2016,"A1","circ",84
2016,"A1","j",23
2016,"A1","soth",64
2016,"A2","jp",92
2016,"A2","circ",99
2016,"A2","j",90
2016,"A2","soth",0
2016,"A3","jp",93
2016,"A3","circ",97
2016,"A3","j",90
2016,"A3","soth",100
2016,"A8","jp",0
2016,"A8","circ",0
2016,"A8","j",0
2016,"A8","soth",0
2016,"D","jp",90
2016,"D","circ",80
2016,"D","j",51
2016,"D","soth",65
2016,"D4","jp",0
2016,"D4","circ",0
2016,"D4","j",0
2016,"D4","soth",0
2016,"NULL","jp",0
2016,"NULL","circ",100
2016,"NULL","j",0
2016,"NULL","soth",0
2016,"U","jp",0
2016,"U","circ",50
2016,"U","j",0
2016,"U","soth",100
2017,"A0","jp",100
2017,"A0","circ",78
2017,"A0","j",0
2017,"A0","soth",23
2017,"A1","jp",95
2017,"A1","circ",97
2017,"A1","j",10
2017,"A1","soth",96
2017,"A2","jp",94
2017,"A2","circ",99
2017,"A2","j",0
2017,"A2","soth",0
2017,"A3","jp",95
2017,"A3","circ",97
2017,"A3","j",20
