[[1]]
       Yr Bio_smry
14 1990 1.2278525
15 1991 1.1966782
16 1992 1.0336184
17 1993 1.4080294
18 1994 1.5063455
19 1995 1.8456341
20 1996 1.8864600
21 1997 1.7399997
22 1998 2.2515977
23 1999 2.1992791
24 2000 1.8986017
25 2001 1.8276511
26 2002 1.5189241
27 2003 1.7264491
28 2004 1.2906632
29 2005 1.3367542
30 2006 1.5054970
31 2007 1.3626697
32 2008 1.7486746
33 2009 1.3169048
34 2010 1.4362845
35 2011 1.4455927
36 2012 1.5217894
37 2013 1.3903154
38 2014 1.2251550
39 2015 1.4339702
40 2016 1.1021977
41 2017 1.1729932
42 2018 1.0982544
43 2019 1.2245424
44 2020 0.9213575

[[14]]
   Year Recruitment
1  1977    543.2780
2  1978    704.4100
3  1979    471.6190
4  1980    487.2260
5  1981    406.4430
6  1982    664.1480
7  1983    592.8240
8  1984    494.4650
9  1985    691.8620
10 1986    652.0070
11 1987    711.4800
12 1988    468.2920
13 1989    526.9870
14 1990    675.8930
15 1991    358.4110
16 1992    597.1400
17 1993    171.0800
18 1994    478.0650
19 1995    323.0480
20 1996    287.3740
21 1997    410.5330
22 1998    283.0470
23 1999    219.0580
24 2000    398.1700
25 2001    239.7380
26 2002    426.7070
27 2003    338.3150
28 2004    109.4000
29 2005    345.8160
30 2006    126.0420
31 2007    235.2440
32 2008    221.1720
33 2009     91.5585
34 2010    313.5220
35 2011    228.6370
36 2012     89.5255
37 2013    365.0040
38 2014    102.1690
39 2015    196.2860
40 2016    138.5840
41 2017    150.0450
42 2018    299.5380
43 2019    215.8840
44 2020    263.5190

[[15]]
   Year     Catch
1  1976  3787.760
2  1977  5813.336
3  1978  7638.963
4  1979  7894.800
5  1980 10100.918
6  1981  8675.125
7  1982  4930.387
8  1983  5249.239
9  1984  6978.788
10 1985  9436.415
11 1986 10132.354
12 1987  8115.743
13 1988 10912.067
14 1989  8402.349
15 1990  6824.553
16 1991  7295.331
17 1992  6741.742
18 1993  8400.839
19 1994  6811.991
20 1995  7047.155
21 1996  5510.049
22 1997  4897.426
23 1998  6101.511
24 1999  5302.760
25 2000  4086.260
26 2001  4439.838
27 2002  3839.954
28 2003  5097.765
29 2004  4220.584
30 2005  4214.607
31 2006  4033.568
32 2007  3155.510
33 2008  3590.151
34 2009  2555.282
35 2010  2817.885
36 2011  2941.661
37 2012  3216.949
38 2013  3016.197
39 2014  2744.838
40 2015  3272.395
41 2016  2456.668
42 2017  2256.272
43 2018  2177.368
44 2019  2694.577
45 2020  2411.752

[[16]]
Catch 20%SSBF=0 
        4468.26 

[[17]]
Catch MSY 
  4512.99 

[[18]]
Avg last 3-year catch 
             2427.899 

[[19]]
        SPR Year
1  0.230550 1977
2  0.178784 1978
3  0.149267 1979
4  0.115002 1980
5  0.108643 1981
6  0.153556 1982
7  0.193055 1983
8  0.186859 1984
9  0.116227 1985
10 0.088751 1986
11 0.126175 1987
12 0.081422 1988
13 0.101856 1989
14 0.130442 1990
15 0.134264 1991
16 0.154094 1992
17 0.107690 1993
18 0.107602 1994
19 0.076978 1995
20 0.071337 1996
21 0.079239 1997
22 0.059965 1998
23 0.067172 1999
24 0.091900 2000
25 0.093215 2001
26 0.120305 2002
27 0.098202 2003
28 0.149806 2004
29 0.129183 2005
30 0.123334 2006
31 0.144793 2007
32 0.109509 2008
33 0.155593 2009
34 0.130978 2010
35 0.121988 2011
36 0.121282 2012
37 0.110043 2013
38 0.136253 2014
39 0.112879 2015
40 0.155345 2016
41 0.158588 2017
42 0.161205 2018
43 0.135297 2019
44 0.198702 2020

[[20]]
Avg last 3-year SPR 
           0.165068 

[[21]]
SPR 20%SSBF=0 
     0.220259 

[[22]]
 SPR MSY 
0.183189 

[[23]]
  Quadrant Percent
1      Red   71.18
2   Orange    0.00
3   Yellow   28.82
4    Green    0.00

[[24]]
     L1    L2      K CVyoung CVold  Wtlen.a Wtlen.b
1 110.9 215.5 0.2645    0.14   0.1 4.68e-06    3.16

[[25]]
    L50  Slope Egg.kg.int Egg.kg.slope
1 152.2 -0.204          1            0

[[26]]
   ln.R0. Steepness SigmaR
1 6.00581      0.87    0.6

[[27]]
    Year - Catch F20%SSB(F=0) - S/R Curve F(1998-2000) - S/R Curve F30% - S/R Curve FMSY - S/R Curve F(2018-2020) - S/R Curve F20%SSB(F=0) - Avg 20 yr Recr F(1998-2000) - Avg 20 yr Recr F30% - Avg 20 yr Recr
242         2021                  2624.23                  3080.26          1806.87          2684.69                  2795.25                       2623.34                       3079.59               1806.22
243         2022                  3041.18                  3386.44          2292.73          3089.79                  3169.79                       2886.17                       3181.67               2177.26
244         2023                  3461.78                  3729.38          2770.37          3501.70                  3549.82                       2952.13                       3131.46               2367.58
245         2024                  3803.88                  3997.09          3176.89          3835.91                  3854.42                       2924.45                       3056.24               2430.34
246         2025                  4039.09                  4173.58          3477.27          4064.49                  4061.98                       2895.50                       3014.18               2446.50
247         2026                  4194.08                  4288.61          3684.43          4214.80                  4198.79                       2880.88                       2996.66               2450.69
248         2027                  4294.87                  4363.35          3822.69          4312.49                  4288.13                       2874.82                       2990.08               2452.16
249         2028                  4359.43                  4411.29          3913.09          4375.04                  4345.66                       2872.45                       2987.66               2452.83
250         2029                  4400.28                  4441.77          3971.38          4414.61                  4382.31                       2871.53                       2986.77               2453.19
251         2030                  4425.96                  4461.06          4008.62          4439.48                  4405.52                       2871.17                       2986.44               2453.37
252         2031                  4442.05                  4473.25          4032.30          4455.07                  4420.17                       2871.03                       2986.31               2453.47
253         2032                  4452.10                  4480.92          4047.32          4464.81                  4429.40                       2870.97                       2986.27               2453.52
254         2033                  4458.37                  4485.76          4056.82          4470.89                  4435.20                       2870.95                       2986.25               2453.55
255         2034                  4462.28                  4488.80          4062.83          4474.68                  4438.85                       2870.94                       2986.24               2453.56
256         2035                  4464.72                  4490.72          4066.63          4477.04                  4441.14                       2870.93                       2986.24               2453.57
257         2036                  4466.24                  4491.92          4069.03          4478.51                  4442.58                       2870.93                       2986.24               2453.57
258         2037                  4467.19                  4492.68          4070.54          4479.43                  4443.49                       2870.93                       2986.24               2453.57
259         2038                  4467.78                  4493.15          4071.50          4480.00                  4444.05                       2870.93                       2986.24               2453.57
260         2039                  4468.14                  4493.45          4072.11          4480.36                  4444.41                       2870.93                       2986.24               2453.57
261         2040                  4468.37                  4493.64          4072.49          4480.58                  4444.63                       2870.93                       2986.24               2453.57
    FMSY - Avg 20 yr Recr F(2018-2020) - Avg 20 yr Recr
242               2683.79                       2793.98
243               2932.34                       2996.25
244               2986.59                       3015.53
245               2952.23                       2967.61
246               2920.70                       2932.11
247               2905.33                       2915.54
248               2899.09                       2908.90
249               2896.69                       2906.35
250               2895.77                       2905.38
251               2895.41                       2905.00
252               2895.27                       2904.86
253               2895.22                       2904.80
254               2895.20                       2904.78
255               2895.19                       2904.77
256               2895.18                       2904.77
257               2895.18                       2904.77
258               2895.18                       2904.77
259               2895.18                       2904.77
260               2895.18                       2904.77
261               2895.18                       2904.77

[[28]]
   Year - SSB Btgt - S/R Curve high  - S/R Curve low - S/R Curve MSY - S/R Curve StatusQuo - S/R Curve Btgt - Avg 20 Yr Recr high  - Avg 20 Yr Recr low - Avg 20 Yr Recr MSY - Avg 20 Yr Recr StatusQuo - Avg 20 Yr Recr
