2025,2026,2027
226.2668803,226.2668803,203.212641
149.1197982,149.1197982,133.9260433
1377.89939,1377.89939,977.6873364
84.04327268,84.04327268,75.48013819
195.9999616,195.9999616,176.0296061
106.8423218,106.8423218,95.95620158
215.4671864,215.4671864,183.3919269
393.4,393.4,228.4
475.9611892,475.9611892,325.9161066
