"report_year","species_id","SPECIES_NAME","sold_kgs","est_kgs"
2020,9,Striped Marlin,379988,415555
2021,9,Striped Marlin,281283,304609
2022,9,Striped Marlin,340364,366815
2023,9,Striped Marlin,206929,222391
2024,9,Striped Marlin,54943,58336
