"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"2014","H","US","HW","SKJ","SKIPJACK TUNA","8"
"2014","H","US","HW","YFT","YELLOWFIN TUNA","385"
"2014","H","US","HW","SWO","SWORDFISH","7"
"2015","H","US","HW","ALB","ALBACORE","62"
"2015","H","US","HW","BET","BIGEYE TUNA","202"
"2015","H","US","HW","SKJ","SKIPJACK TUNA","5"
"2015","H","US","HW","YFT","YELLOWFIN TUNA","401"
"2015","H","US","HW","SWO","SWORDFISH","5"
"2016","H","US","HW","ALB","ALBACORE","24"
"2016","H","US","HW","BET","BIGEYE TUNA","183"
"2016","H","US","HW","SKJ","SKIPJACK TUNA","5"
"2016","H","US","HW","YFT","YELLOWFIN TUNA","269"
"2016","H","US","HW","SWO","SWORDFISH","4"
"2017","H","US","HW","ALB","ALBACORE","35"
"2017","H","US","HW","BET","BIGEYE TUNA","106"
"2017","H","US","HW","SKJ","SKIPJACK TUNA","6"
"2017","H","US","HW","YFT","YELLOWFIN TUNA","400"
"2017","H","US","HW","SWO","SWORDFISH","6"
"2018","H","US","HW","ALB","ALBACORE","20"
"2018","H","US","HW","BET","BIGEYE TUNA","124"
"2018","H","US","HW","SKJ","SKIPJACK TUNA","5"
"2018","H","US","HW","YFT","YELLOWFIN TUNA","337"
"2018","H","US","HW","SWO","SWORDFISH","3"
"2019","H","US","HW","ALB","ALBACORE","10"
"2019","H","US","HW","BET","BIGEYE TUNA","226"
"2019","H","US","HW","SKJ","SKIPJACK TUNA","10"
"2019","H","US","HW","YFT","YELLOWFIN TUNA","249"
"2019","H","US","HW","SWO","SWORDFISH","3"
"2020","H","US","HW","ALB","ALBACORE","3"
"2020","H","US","HW","BET","BIGEYE TUNA","145"
"2020","H","US","HW","SKJ","SKIPJACK TUNA","5"
"2020","H","US","HW","YFT","YELLOWFIN TUNA","243"
"2020","H","US","HW","SWO","SWORDFISH","2"
"2021","H","US","HW","ALB","ALBACORE","5"
"2021","H","US","HW","BET","BIGEYE TUNA","121"
"2021","H","US","HW","SKJ","SKIPJACK TUNA","5"
"2021","H","US","HW","YFT","YELLOWFIN TUNA","277"
"2021","H","US","HW","SWO","SWORDFISH","1"
"2022","H","US","HW","ALB","ALBACORE","5"
"2022","H","US","HW","BET","BIGEYE TUNA","201"
"2022","H","US","HW","SKJ","SKIPJACK TUNA","5"
"2022","H","US","HW","YFT","YELLOWFIN TUNA","405"
"2022","H","US","HW","SWO","SWORDFISH","1"
"2023","T","US","HW","BET","BIGEYE TUNA","5"
"2023","T","US","HW","SKJ","SKIPJACK TUNA","108"
"2023","T","US","HW","YFT","YELLOWFIN TUNA","259"
"2023","T","US","HW","MLS","STRIPED MARLIN","6"
"2003","T","US","HW","ALB","ALBACORE","5"
"2003","T","US","HW","BET","BIGEYE TUNA","37"
"2003","T","US","HW","SKJ","SKIPJACK TUNA","108"
"2003","T","US","HW","YFT","YELLOWFIN TUNA","330"
"2003","T","US","HW","MLS","STRIPED MARLIN","29"
"2003","T","US","HW","SWO","SWORDFISH","1"
"2004","T","US","HW","ALB","ALBACORE","3"
"2004","T","US","HW","BET","BIGEYE TUNA","149"
"2004","T","US","HW","SKJ","SKIPJACK TUNA","112"
"2004","T","US","HW","YFT","YELLOWFIN TUNA","309"
"2004","T","US","HW","MLS","STRIPED MARLIN","34"
"2005","T","US","HW","ALB","ALBACORE","6"
"2005","T","US","HW","BET","BIGEYE TUNA","85"
"2005","T","US","HW","SKJ","SKIPJACK TUNA","86"
"2005","T","US","HW","YFT","YELLOWFIN TUNA","319"
"2005","T","US","HW","MLS","STRIPED MARLIN","20"
"2006","T","US","HW","ALB","ALBACORE","1"
"2006","T","US","HW","BET","BIGEYE TUNA","56"
"2006","T","US","HW","SKJ","SKIPJACK TUNA","100"
"2006","T","US","HW","YFT","YELLOWFIN TUNA","262"
"2006","T","US","HW","MLS","STRIPED MARLIN","21"
"2007","T","US","HW","ALB","ALBACORE","3"
"2007","T","US","HW","BET","BIGEYE TUNA","63"
"2007","T","US","HW","SKJ","SKIPJACK TUNA","87"
"2007","T","US","HW","YFT","YELLOWFIN TUNA","463"
"2007","T","US","HW","MLS","STRIPED MARLIN","13"
"2007","T","US","HW","SWO","SWORDFISH","1"
"2008","T","US","HW","ALB","ALBACORE","1"
"2008","T","US","HW","BET","BIGEYE TUNA","74"
"2008","T","US","HW","SKJ","SKIPJACK TUNA","157"
"2008","T","US","HW","YFT","YELLOWFIN TUNA","427"
"2008","T","US","HW","MLS","STRIPED MARLIN","14"
"2009","T","US","HW","ALB","ALBACORE","3"
"2009","T","US","HW","BET","BIGEYE TUNA","59"
"2009","T","US","HW","SKJ","SKIPJACK TUNA","139"
"2009","T","US","HW","YFT","YELLOWFIN TUNA","436"
"2009","T","US","HW","MLS","STRIPED MARLIN","10"
"2010","T","US","HW","ALB","ALBACORE","2"
"2010","T","US","HW","BET","BIGEYE TUNA","118"
"2010","T","US","HW","SKJ","SKIPJACK TUNA","96"
"2010","T","US","HW","YFT","YELLOWFIN TUNA","401"
"2010","T","US","HW","MLS","STRIPED MARLIN","19"
"2011","T","US","HW","ALB","ALBACORE","4"
"2011","T","US","HW","BET","BIGEYE TUNA","110"
"2011","T","US","HW","SKJ","SKIPJACK TUNA","126"
"2011","T","US","HW","YFT","YELLOWFIN TUNA","440"
"2011","T","US","HW","MLS","STRIPED MARLIN","16"
"2012","T","US","HW","ALB","ALBACORE","3"
"2012","T","US","HW","BET","BIGEYE TUNA","155"
"2012","T","US","HW","SKJ","SKIPJACK TUNA","109"
"2012","T","US","HW","YFT","YELLOWFIN TUNA","597"
"2012","T","US","HW","MLS","STRIPED MARLIN","11"
"2012","T","US","HW","SWO","SWORDFISH","1"
"2013","T","US","HW","ALB","ALBACORE","2"
"2013","T","US","HW","BET","BIGEYE TUNA","148"
"2013","T","US","HW","SKJ","SKIPJACK TUNA","149"
"2013","T","US","HW","YFT","YELLOWFIN TUNA","488"
"2013","T","US","HW","MLS","STRIPED MARLIN","8"
"2013","T","US","HW","SWO","SWORDFISH","1"
"2014","T","US","HW","ALB","ALBACORE","3"
"2014","T","US","HW","BET","BIGEYE TUNA","143"
"2014","T","US","HW","SKJ","SKIPJACK TUNA","78"
"2014","T","US","HW","YFT","YELLOWFIN TUNA","555"
"2014","T","US","HW","MLS","STRIPED MARLIN","12"
"2014","T","US","HW","SWO","SWORDFISH","1"
"2015","T","US","HW","ALB","ALBACORE","2"
"2015","T","US","HW","BET","BIGEYE TUNA","59"
"2015","T","US","HW","SKJ","SKIPJACK TUNA","96"
"2015","T","US","HW","YFT","YELLOWFIN TUNA","492"
"2015","T","US","HW","MLS","STRIPED MARLIN","11"
"2015","T","US","HW","SWO","SWORDFISH","1"
"2016","T","US","HW","ALB","ALBACORE","1"
"2016","T","US","HW","BET","BIGEYE TUNA","34"
"2016","T","US","HW","SKJ","SKIPJACK TUNA","117"
"2016","T","US","HW","YFT","YELLOWFIN TUNA","464"
"2016","T","US","HW","MLS","STRIPED MARLIN","12"
"2017","T","US","HW","BET","BIGEYE TUNA","37"
"2017","T","US","HW","SKJ","SKIPJACK TUNA","97"
